bore, sore, sort, port
bank, bark, park, pork
worn, porn, port, poet
porn, port, sort, sore
bars, bare, rare, rage
tape, take, wake, wade
hunt, hung, hong, song
lung, sung, sing, ring
rope, rose, rise, wise
dale, dare, fare, fake
seas, sean, dean, dead
yale, male, make, jake
fold, ford, cord, corn
beat, bean, lean, leon
lane, lake, bake, base
lead, head, heal, heel
lean, leon, lyon, lynn
fist, list, lift, life
wave, cave, case, base
moss, mass, mars, bars
wood, word, lord, loud
data, date, dave, save
sure, sore, some, home
took, tool, toll, till
nose, lose, loss, toss
pill, mill, mile, mine
give, gave, dave, dame
kate, mate, make, bake
rail, tail, tall, toll
flat, feat, meat, meal
bill, bell, belt, beat
boyd, boys, toys, tops
hair, hail, mail, mall
rand, raid, rain, main
sell, cell, call, carl
dick, rick, rice, ride
tell, tall, call, carl
mice, mine, pine, pins
date, dale, pale, pile
bust, best, belt, bolt
jane, jake, sake, sale
beds, bees, been, seen
fine, fire, fare, care
fits, sits, sins, sons
full, fell, felt, melt
rape, rate, mate, make
chip, ship, shit, shut
care, dare, dave, dive
zone, cone, cope, cape
coal, cool, fool, foul
gets, bets, bats, rats
ears, cars, cart, hart
bite, bike, bake, babe
cole, core, care, dare
aims, sims, sits, hits
head, held, hell, bell
film, firm, farm, warm
real, seal, seat, beat
dose, pose, post, port
cafe, cape, cope, pope
mill, till, tall, talk
dies, does, dogs, logs
lens, tens, tent, kent
finn, fine, fire, firm
some, same, sake, take
safe, sake, take, tape
ward, wars, mars, mass
gang, lang, land, lend
wire, wine, line, lone
rope, hope, hole, holy
felt, feat, heat, head
mike, make, take, tape
like, live, dive, dave
bold, gold, golf, gulf
kane, kate, mate, math
sink, silk, milk, mile
west, best, beat, bear
wake, wave, dave, dame
dame, dare, bare, bore
pole, pose, rose, rise
case, cape, caps, cups
race, rack, rick, nick
chat, chan, chen, when
post, pose, pope, cope
fire, fine, find, fond
mild, mill, will, well
bats, cats, caps, maps
mick, milk, mile, pile
cops, cope, nope, node
team, beam, beat, meat
sake, same, lame, lamb
rear, fear, feat, flat
fare, bare, barn, burn
like, mike, make, mate
jail, sail, said, sand
pics, pick, rick, rock
home, hole, role, rule
lone, lose, rose, role
file, fill, fall, tall
mars, bars, bare, bake
bare, dare, dale, sale
back, bark, bare, bore
glow, slow, slot, spot
barn, bars, bats, bath
span, sean, bean, bear
kate, late, lake, luke
host, cost, cast, cash
nest, neat, seat, sept
swan, sean, bean, beam
rice, rise, rose, nose
nose, none, nine, wine
wins, mins, miss, kiss
cans, hans, hand, land
made, make, mike, hike
card, care, core, more
corp, corn, porn, port
suck, sack, rack, race
crew, crow, crop, drop
dive, five, fine, nine
pope, pipe, pile, file
love, lone, none, nine
hall, tall, tale, pale
foot, font, fond, pond
lime, lame, fame, fate
cole, sole, sale, salt
load, lord, ford, fold
plan, clan, chan, than
lead, lean, sean, stan
cage, cave, gave, gate
chin, chip, ship, shit
bars, cars, cart, cast
corp, core, cope, nope
loan, lean, sean, span
page, wage, wade, jade
lean, sean, seat, neat
shop, stop, step, stem
wash, cash, cast, past
ball, tall, tale, yale
find, fond, font, wont
cube, cure, care, card
have, dave, dive, live
know, snow, slow, slot
lean, sean, stan, stab
code, mode, made, fade
card, care, cage, sage
pile, pill, hill, hall
nine, pine, pile, pill
bank, band, bend, bent
turn, torn, corn, corp
same, sake, bake, babe
sept, seat, beat, beam
pain, rain, rail, tail
tall, tale, take, fake
done, dong, hong, hung
bark, bars, bats, bits
pace, pale, male, mall
wise, wire, hire, here
wore, core, come, rome
fare, care, card, yard
wish, wise, wine, wing
sail, mail, mall, mill
some, home, hole, hold
male, mile, mike, like
host, lost, loss, logs
cage, care, cure, cute
case, care, cars, wars
heel, hell, well, wall
some, sore, wore, were
some, same, sale, pale
star, stat, seat, feat
nest, test, tent, kent
hits, bits, bets, bees
part, port, fort, foot
code, node, nose, lose
luke, duke, dude, rude
says, ways, wars, warn
rand, band, bald, ball
male, dale, dare, care
pill, pull, dull, dual
dame, dome, done, bone
fort, port, post, most
kits, bits, bats, bass
coup, soup, sour, tour
cops, pops, pope, pose
ball, call, carl, earl
rule, rude, rode, code
near, dear, deer, deep
rice, mice, mile, file
warm, warn, worn, corn
logo, logs, loss, lose
mary, mars, wars, ward
bush, bash, bass, bags
hope, pope, pose, post
star, stan, sean, bean
rome, role, roll, toll
pins, piss, pass, bass
lion, leon, lean, dean
prep, prey, pray, gray
deck, desk, disk, dish
beat, boat, boot, boom
word, wore, more, move
send, seed, seen, sean
nest, neat, seat, seal
woke, coke, cole, pole
goes, toes, tops, pops
wise, wire, wore, sore
cunt, hunt, hung, hang
fund, fond, food, wood
chen, then, thin, twin
duck, dick, pick, pics
gone, done, dose, pose
walt, salt, sale, sake
pipe, pile, mile, mild
cash, case, ease, else
hood, hook, cook, cock
cups, cops, cope, cole
race, lace, lane, kane
deer, beer, bees, fees
