reed, seed, seen, sean, span
mail, mall, male, dale, dare
same, came, case, ease, east
wild, mild, mile, male, dale
dave, date, mate, math, oath
pose, pole, poll, toll, tool
want, went, tent, tend, lend
goes, toes, tons, tone, cone
reds, beds, bees, been, teen
jake, bake, base, bash, bath
nope, note, nate, date, dale
bold, boyd, boys, boss, loss
bone, bore, sore, sure, surf
wire, wine, wins, sins, sons
corn, worn, word, wood, mood
plan, clan, chan, chat, coat
ross, moss, mass, mars, cars
belt, beat, bean, lean, leon
hope, pope, pose, post, past
bail, ball, call, carl, cart
post, port, part, park, dark
rack, rick, rice, ride, rude
meat, heat, head, lead, lend
bets, bits, tits, ties, toes
cent, cant, cans, caps, gaps
cash, case, cave, dave, dive
span, sean, seat, sent, tent
face, fate, nate, note, nope
foul, fool, food, fond, fund
same, came, care, cure, cute
fail, fall, fell, felt, feat
fist, list, lost, loss, less
clip, chip, ship, shop, shoe
food, ford, fork, pork, park
cake, sake, sale, sole, solo
note, nose, lose, lost, cost
boat, beat, bent, tent, text
fury, bury, busy, bust, dust
part, cart, carl, call, cell
tell, fell, feel, feed, fred
cube, cure, care, bare, babe
save, cave, case, base, bass
cunt, cant, cart, care, cage
mall, ball, bald, bold, boyd
fine, five, give, gave, gate
park, pack, pick, mick, milk
made, wade, wide, wife, wifi
tony, pony, pond, fond, ford
haul, hall, halt, hart, harm
foot, fort, port, post, pose
cart, carl, call, fall, fell
feat, seat, sent, tent, tend
hack, rack, rank, rand, raid
code, cole, cold, gold, golf
wave, cave, cape, cope, hope
gold, cold, cole, cone, lone
have, hate, mate, math, path
jose, nose, note, nate, gate
wool, cool, coal, coat, goat
long, lang, land, laid, maid
pass, mass, moss, most, must
wide, wine, mine, mile, mill
bone, cone, coke, cake, fake
west, best, belt, bell, tell
chat, coat, cost, post, poet
seek, seen, sean, scan, scam
sits, bits, bats, bass, boss
sins, sink, sick, rick, risk
lane, lang, hang, hans, cans
cute, cuts, nuts, nets, gets
pigs, piss, pass, pays, says
dead, dear, tear, team, term
thus, this, thin, chin, chip
dont, done, tone, tony, tiny
bean, beat, best, bust, must
wipe, pipe, pope, cope, cape
lime, like, mike, mile, milk
seas, seat, sent, tent, tend
cave, came, lame, lime, time
size, site, sits, sims, aims
sand, send, sent, rent, rest
rice, rise, rose, pose, post
wine, fine, find, fond, font
none, nine, fine, fire, tire
lone, lane, land, rand, raid
find, mind, mins, sins, sons
case, cape, caps, cops, tops
carl, care, cake, jake, joke
wide, wine, nine, none, gone
hike, mike, mice, vice, vibe
lang, hang, hand, hard, hart
sits, sets, seas, seat, feat
sure, sore, some, rome, rose
slow, glow, grow, grew, drew
mind, mild, mill, hill, hull
fare, farm, warm, warn, worn
hall, tall, toll, told, todd
cord, core, care, fare, fade
pill, mill, mile, mike, hike
life, like, hike, hire, here
loan, lean, dean, dear, gear
fade, fare, fire, file, pile
cops, tops, toys, boys, buys
head, read, reid, raid, rail
jack, pack, pick, pics, pigs
jury, bury, busy, bust, dust
made, male, mall, mail, maid
bits, bite, bike, nike, nine
mary, mark, park, para, papa
toll, roll, role, rose, rosa
dock, lock, lack, lace, lame
five, file, fill, fall, fail
piss, pass, bass, bars, ears
wait, walt, wall, tall, toll
lost, lose, lone, line, wine
cans, cars, care, core, wore
send, lend, land, lane, late
lots, loss, toss, toes, ties
june, jung, hung, hang, gang
tear, hear, heal, hell, cell
sent, cent, cant, cast, past
bark, park, part, port, post
aims, sims, sins, mins, mind
head, lead, lend, lens, tens
sore, wore, wire, fire, five
porn, port, part, hart, hard
poem, poet, port, porn, horn
dear, dean, sean, seen, seem
rise, rice, mice, mile, mill
jake, lake, lane, lang, wang
dont, wont, want, wang, yang
spam, span, sean, seat, sept
rare, fare, farm, firm, film
mate, rate, race, rack, rick
pins, pine, nine, none, bone
sets, pets, puts, cuts, cute
wait, want, cant, cart, card
hard, hart, part, past, pass
swan, sean, dean, dear, near
bean, beat, bent, cent, cant
lake, like, line, fine, finn
oath, math, mate, late, lane
told, bold, bolt, boat, coat
farm, fare, fame, came, camp
fate, hate, hats, cats, cuts
meal, meat, seat, sent, rent
jury, bury, busy, bust, just
bang, band, bond, bone, gone
walt, walk, talk, tank, rank
kill, mill, mall, mail, main
dull, dual, deal, meal, meat
tend, bend, bond, fond, food
join, coin, corn, worn, wore
coke, core, care, dare, date
sums, sims, sits, sets, lets
page, cage, cape, caps, cans
note, none, nine, mine, mini
seth, beth, bets, beds, reds
dong, done, cone, core, corp
rare, fare, fire, fine, wine
rank, tank, talk, tall, tell
corp, core, bore, bare, bake
lamb, lame, lake, bake, babe
flat, feat, seat, sean, swan
nate, name, lame, lime, time
dope, cope, core, cord, lord
bets, bats, cats, cars, carl
belt, bolt, bold, cold, cole
sore, some, same, game, gave
hype, hope, cope, cops, cups
visa, lisa, list, lost, post
kept, sept, seat, meat, meet
keen, teen, then, than, that
miss, mins, sins, sing, sang
rode, code, core, corn, horn
late, lane, lone, done, dont
ward, word, ford, fold, bold
sent, seat, sean, lean, leak
laid, land, lend, lead, load
poem, poet, post, past, fast
joan, jean, dean, deal, dual
zone, lone, line, wine, wipe
hear, heat, neat, nest, test
yell, fell, feel, feed, fled
bone, cone, cole, sole, solo
coat, boat, beat, bear, year
seen, sean, seal, sell, cell
sued, seed, seen, keen, keep
lots, lets, lens, lend, land
lung, lang, land, rand, rank
dick, nick, nice, nine, nina
kind, wind, wine, wide, ride
belt, bolt, boot, root, roof
suck, sick, sink, sins, wins
wish, wise, wire, wore, sore
dave, dame, dome, dose, lose
home, rome, rose, rise, wise
film, firm, farm, warm, wars
fans, cans, cars, mars, mark
fold, fond, bond, bone, lone
bond, bone, bore, born, porn
bolt, belt, bell, ball, tall
josh, jose, dose, dome, dame
copy, cops, caps, cats, bats
roll, toll, told, fold, food
zone, done, dont, font, fort
wide, wise, rise, rose, rosa
pole, pile, pine, wine, wide
poet, port, fort, form, firm
fell, hell, held, hold, gold
mean, sean, seal, sell, self
reef, reed, feed, fled, flew
wife, wine, nine, nice, vice
wore, word, ford, fold, gold
karl, carl, call, hall, hull
earl, carl, care, dare, date
torn, tory, tony, pony, pond
take, fake, face, race, rack
comp, come, cone, lone, love
mick, mice, mike, make, take
firm, form, ford, food, mood
reid, reed, seed, sees, sets
wood, good, gold, golf, wolf
pope, pole, poll, pool, wool
take, tape, rape, rope, nope
wash, cash, case, care, dare
ward, warn, barn, bare, base
poor, pool, fool, food, mood
rice, mice, mile, mill, jill
mall, call, carl, earl, ears
hand, hans, hats, rats, rays
ross, rose, role, cole, cold
fade, fare, care, cure, pure
tape, cape, care, carl, karl
ways, wars, cars, care, cure
wash, bash, bass, bats, cats
ross, moss, miss, mins, sins
port, sort, sore, some, same
sell, seal, seas, sets, jets
cold, cole, core, more, mere
lens, less, loss, lose, pose
wade, wide, ride, rice, rico
make, male, sale, sole, sold
drew, grew, grey, prey, prep
hide, wide, wade, wave, dave
seat, feat, felt, fell, fall
sony, tony, tons, toys, boys
tear, hear, heal, hell, hill
fort, font, dont, dong, hong
ears, bars, bare, bake, sake
lamb, lame, lime, line, fine
gosh, josh, jose, lose, love
hate, mate, male, mile, file
sale, tale, tall, tell, sell
held, hold, fold, fond, font
pull, full, fill, file, fire
hans, hand, rand, raid, rail
norm, form, farm, fare, face
wore, sore, sort, soft, sofa
fear, dear, dead, lead, lend
bold, hold, hole, hope, pope
good, food, foot, boot, boom
wang, want, cant, cast, east
well, will, pill, pile, pole
note, nate, late, lane, lang
rich, rice, ride, tide, time
cars, carl, call, tall, talk
ease, base, bare, bark, bank
cure, care, cart, cast, east
worn, wore, wire, hire, hike
wise, wire, fire, fare, fame
race, rate, rats, rays, ways
worn, wore, core, care, cage
been, bean, mean, meat, meet
pile, file, fill, fell, feel
boom, boot, bolt, bold, hold
lift, list, lost, post, port
nail, tail, tall, tale, sale
milk, mile, mine, line, lane
bend, lend, lens, lets, pets
bets, lets, lots, logs, dogs
damn, dame, dome, dope, pope
beta, bets, bits, kits, kiss
cuts, cats, cans, cant, cent
tips, tits, sits, sins, mins
flag, flat, feat, heat, head
halt, salt, sale, sole, cole
want, cant, cart, care, dare
pick, pink, pine, pile, pill
last, fast, fact, face, lace
sake, fake, fare, farm, warm
wish, dish, disk, dick, duck
base, case, cape, cope, nope
risk, rick, rice, mice, mike
rats, bats, bass, bash, nash
line, fine, find, fond, fold
hire, wire, wore, work, york
park, pork, fork, ford, fold
cave, care, bare, bark, back
look, took, tool, toll, tall
cape, case, cash, dash, dish
gets, lets, lots, logs, logo
cart, cant, cent, tent, test
cart, carl, call, mall, mill
wine, pine, pile, pale, yale
came, lame, lime, line, pine
rose, rise, rice, rick, mick
coat, boat, bolt, belt, bell
