bait, wait, walt, salt, sale, safe
hunt, hurt, hart, part, park, pack
shed, seed, send, sand, hand, hard
leak, lead, lend, land, band, bald
bark, bars, bass, boss, boys, toys
snap, swap, swan, sean, lean, lead
boss, ross, rose, rise, ride, side
yell, tell, toll, roll, role, rope
ease, base, bake, lake, luke, duke
logs, loss, boss, bass, bash, dash
bred, fred, feed, reed, read, lead
cows, rows, ross, moss, miss, kiss
pile, pill, hill, hell, heal, hear
tend, bend, bond, fond, food, mood
rose, rise, rice, rick, rack, hack
marc, mars, bars, bare, bore, wore
solo, sole, sale, male, mall, fall
cure, care, dare, date, mate, matt
easy, east, cast, cart, cars, mars
dawn, down, doin, coin, corn, cord
sued, seed, send, lend, land, lane
work, pork, park, pack, pick, kick
joan, jean, sean, seas, sets, lets
beat, boat, coat, cost, lost, list
saga, sage, cage, cape, caps, cups
self, sell, hell, heal, hear, heir
jade, jake, bake, bare, bars, bats
hips, tips, tops, toss, moss, mass
spot, spit, spin, span, sean, bean
tear, hear, heal, hell, hall, mall
cash, dash, dish, disk, dick, tick
sack, rack, race, rape, cape, cafe
bent, beat, bear, dear, deer, deep
lame, late, hate, hats, hits, kits
bids, bits, bats, bass, bash, cash
bulk, buck, luck, lock, look, took
cafe, case, cash, bash, bush, busy
boil, bail, tail, tall, tale, tape
desk, disk, risk, rise, rose, ross
rand, band, bald, bold, gold, good
mate, rate, race, rack, rock, cock
park, mark, mars, mass, moss, moms
tail, rail, raid, reid, reed, reef
wave, save, sale, salt, walt, wait
same, lame, lane, land, lend, lead
path, bath, bats, bits, bids, aids
leaf, lead, head, heat, feat, felt
went, want, walt, salt, sale, save
pink, sink, sins, sims, aims, arms
life, lime, lame, lace, pace, pack
fond, fold, cold, cole, coke, joke
reed, seed, sees, sets, sits, hits
mark, bark, bare, bake, bike, like
pure, cure, care, fare, fire, fine
born, worn, wore, woke, wake, wave
rows, ross, loss, lots, lets, jets
link, line, like, lake, take, tape
gang, lang, lane, line, nine, nina
tony, sony, sons, sins, sits, fits
harm, farm, fare, fame, lame, lamp
loss, lose, pose, pole, sole, sore
wars, cars, care, core, cole, hole
fist, list, lost, loss, moss, mess
book, took, tool, toll, till, fill
leaf, lead, lend, land, lang, gang
cage, care, carl, call, ball, bail
wage, rage, rape, rope, rose, ross
cock, lock, lack, lace, late, kate
last, lost, loss, toss, tops, cops
wind, wine, fine, fire, fare, fame
cake, jake, jane, june, jung, sung
poll, roll, role, rode, rude, nude
dust, must, most, moss, mass, mars
bits, bets, lets, lots, logs, logo
rest, rent, cent, cant, cans, fans
dope, cope, core, corn, coin, chin
sand, land, lend, lead, read, rear
spam, span, sean, seat, feat, feet
lies, ties, toes, toss, moss, moms
baby, babe, bare, care, cure, cube
dogs, logs, loss, lose, nose, note
hell, hall, tall, talk, task, mask
bids, beds, bees, fees, feel, peel
bred, fred, feed, seed, seen, teen
flat, feat, heat, head, read, road
boyd, bold, hold, hole, role, rule
harm, warm, wars, bars, bats, bets
bury, burn, born, corn, cord, cold
buck, back, rack, rick, rice, ride
port, part, past, pass, piss, pins
coup, corp, core, care, cars, cats
long, lang, land, band, bald, ball
just, bust, bush, bash, base, babe
tons, tone, lone, love, live, give
babe, bare, bars, bats, rats, rays
rest, rent, cent, cant, cart, cars
rats, rate, mate, male, mile, mill
sent, went, want, wang, wing, wind
fist, list, lost, lose, nose, note
slim, slam, scam, scan, sean, seen
cans, cars, care, cave, gave, give
bear, beat, bent, went, want, wang
hung, hang, hand, hard, ward, warn
pile, pole, cole, core, cure, cube
luke, like, line, link, pink, punk
hope, hole, hold, fold, food, fool
pics, piss, miss, moss, loss, logs
goat, boat, bolt, belt, bell, hell
risk, rise, rose, ross, toss, toes
dome, done, dont, wont, went, rent
most, moss, miss, kiss, kids, aids
sits, sets, seas, seal, sell, yell
mike, like, live, love, lose, loss
post, port, part, park, pack, sack
sits, sins, mins, mine, line, lone
bash, cash, cast, cant, cent, sent
warn, barn, bars, bags, bugs, buys
dull, full, fell, feel, fees, bees
dull, dual, deal, dean, lean, leak
damn, dame, lame, lime, like, hike
send, seed, reed, read, rear, gear
head, held, hell, hall, hail, jail
code, core, care, carl, call, cell
load, road, read, reid, raid, rail
neil, nail, mail, mall, male, mate
jose, dose, done, dong, doug, drug
june, jane, lane, lace, lack, sack
long, lone, bone, bond, fond, food
tire, wire, wine, wing, wang, want
sony, sons, sins, sims, aims, arms
bash, cash, cast, cost, coat, boat
sake, wake, wade, wide, wine, wind
maps, caps, cans, hans, hang, gang
dean, sean, seat, sent, tent, tens
curb, cure, care, carl, call, tall
drag, drug, doug, dong, done, cone
ward, word, wore, wire, wise, wish
root, boot, bolt, belt, bell, hell
dean, sean, seal, sell, cell, call
rare, care, cart, cast, cost, host
cuba, cube, cure, core, come, rome
park, part, cart, card, cord, cold
kirk, kick, sick, sink, sins, wins
luke, lake, lame, dame, damn, dawn
fans, hans, hand, rand, raid, rain
luck, suck, sick, sink, sing, sung
like, lake, lace, lack, rack, rank
bond, bone, cone, code, rode, rude
wins, wine, wire, wore, core, come
lift, list, fist, fish, dish, disc
punk, pink, pine, fine, fire, fare
lime, lame, came, care, card, hard
star, stat, seat, heat, head, held
rope, hope, hole, hold, hood, mood
pile, pole, pose, lose, loss, logs
chat, chan, chin, coin, corn, core
rule, rude, dude, duke, luke, like
role, rose, ross, boss, boys, buys
tony, tone, cone, core, wore, wire
pale, male, mall, fall, full, fuel
song, long, lone, lose, rose, rosa
bars, cars, carl, call, calm, palm
suck, sick, mick, mice, mike, bike
bold, bald, ball, tall, talk, task
rome, rose, ross, moss, miss, kiss
boys, toys, tons, sons, sins, sing
solo, sold, hold, held, head, lead
bark, bank, bang, wang, want, wont
cope, cone, lone, lose, loss, less
bids, kids, kiss, miss, mass, mask
bang, lang, lane, lame, same, safe
tell, bell, belt, best, bust, busy
milk, mick, pick, pics, piss, pass
punk, pink, pine, pile, pale, male
fund, fond, pond, pony, tony, tons
tool, toll, tall, tale, tape, type
hand, hard, card, cord, corp, coup
toes, ties, tits, hits, hats, eats
bars, bark, back, buck, luck, lucy
sits, sins, sing, song, dong, dont
fans, cans, cars, mars, mass, mess
tear, hear, heal, hell, hill, kill
heel, hell, bell, belt, best, rest
dust, bust, busy, bury, burn, born
fork, form, farm, fare, dare, dave
hart, cart, care, came, camp, lamp
port, fort, form, firm, fire, file
code, mode, made, mate, math, path
work, pork, port, post, lost, list
safe, sale, sole, sold, gold, good
load, lord, ford, fond, font, wont
burn, barn, bars, cars, caps, cops
eats, ears, wars, ward, word, wood
will, mill, milk, mick, mock, monk
nice, nine, fine, find, fond, ford
hurt, hart, cart, care, cure, sure
hole, hold, held, head, heat, feat
hill, bill, bell, belt, beat, bean
belt, bolt, bold, cold, cord, corn
push, bush, bash, cash, cast, cost
kits, hits, hats, cats, cars, cart
wore, core, cope, cops, tops, tips
wall, walt, want, went, tent, tend
bend, band, land, lane, line, wine
chen, chin, coin, corn, porn, pork
beef, been, bean, beat, belt, bell
mike, mile, male, tale, talk, tank
ward, card, carl, call, tall, tell
punk, pink, link, line, lane, late
bean, beat, bent, cent, cunt, aunt
rome, rose, lose, lost, last, east
folk, fold, sold, sole, sale, salt
buys, boys, toys, toes, ties, tied
gang, hang, hand, hard, card, care
mars, cars, caps, cape, tape, type
gate, late, lane, line, wine, wind
fred, feed, feel, fell, tell, toll
tops, tons, tens, tent, test, best
lens, lend, land, laid, paid, pair
chat, coat, boat, beat, meat, meal
sore, some, rome, rose, ross, toss
sold, bold, bald, band, bank, rank
chen, then, teen, seen, seed, shed
bash, wash, wish, wise, wipe, pipe
earn, barn, bark, mark, mask, task
sale, salt, walt, want, went, west
sand, band, bond, bone, cone, cope
core, bore, bare, bark, back, hack
fled, feed, seed, send, tend, tens
male, pale, pole, cole, cone, gone
pink, pine, pile, pill, poll, doll
gone, done, dong, hong, hang, hans
lace, lane, lone, cone, cope, copy
bats, bets, sets, seas, seal, heal
pick, pack, park, part, past, fast
rule, rude, ride, wide, wine, wing
bean, beat, boat, coat, cost, most
surf, sure, sore, wore, wire, wise
loud, lord, ford, fold, hold, holy
walk, talk, tale, tape, type, hype
tick, sick, suck, buck, bulk, bull
path, bath, bats, bars, mars, marc
warn, worn, porn, port, post, most
maps, caps, cape, rape, race, rice
dawn, damn, dame, date, nate, note
coin, corn, worn, wore, wire, wide
bend, bent, belt, bell, hell, heel
sets, sits, sins, sing, sung, lung
head, held, hold, hole, hope, nope
nate, date, dale, pale, pile, pill
cans, cars, carl, call, tall, talk
ties, toes, tons, tens, tent, cent
rain, gain, goin, coin, chin, chip
gone, cone, cope, cops, caps, gaps
gene, gone, cone, cope, cops, cups
sons, sins, wins, wine, wise, rise
rent, cent, cant, cart, care, core
dead, head, held, hold, hole, pole
fade, jade, jane, june, jung, hung
dome, some, sore, more, mere, meme
warm, farm, firm, film, fill, pill
tone, lone, line, pine, pins, piss
cole, cope, cops, caps, cans, hans
rice, rise, rose, rope, cope, cops
pale, pole, poll, pool, cool, cook
rose, dose, done, dont, wont, went
tier, pier, peer, peel, feel, feed
logo, logs, loss, moss, mass, mask
pigs, pics, pick, sick, suck, such
weed, feed, feel, fell, fall, tall
hate, hats, hits, tits, ties, dies
nash, cash, case, cake, jake, joke
fate, mate, male, mall, mail, main
pony, pond, bond, bold, bolt, bout
mint, hint, hunt, cunt, cent, rent
jake, take, tale, tall, fall, full
rain, raid, reid, read, dead, deal
pink, pick, pack, lack, lock, look
fork, pork, park, pack, pace, page
sony, pony, pond, fond, food, hood
todd, told, fold, fond, font, wont
make, male, tale, talk, task, mask
wide, wine, mine, mins, miss, mass
seal, seas, sets, lets, lots, loss
pace, lace, lane, lone, done, dont
bark, bars, bats, bits, tits, ties
hype, hope, rope, rose, rise, rice
ship, chip, chin, chan, chat, what
pull, full, fill, film, firm, form
rule, role, cole, cone, lone, lane
took, look, lock, lack, lace, lane
mick, sick, sink, sins, sits, sets
rank, rack, race, rate, rats, rays
mile, male, tale, talk, task, mask
turn, torn, tory, tony, sony, sons
node, nose, pose, post, poet, poem
seas, seal, sell, well, will, wild
vent, bent, beat, bean, jean, joan
lend, land, lane, line, fine, five
burn, barn, bare, dare, dave, save
corp, core, care, cars, cats, hats
sink, link, line, lane, land, laid
flew, fled, feed, seed, seen, keen
lost, lose, rose, rise, risk, disk
mild, mile, male, tale, tape, rape
wave, wade, wide, wise, rise, risk
folk, fold, fond, bond, band, rand
mess, miss, piss, pics, pick, dick
jung, june, jane, jake, cake, cave
tags, bags, bars, bare, fare, fate
rome, rode, ride, side, site, bite
cult, cunt, cant, cans, caps, gaps
luck, lack, rack, race, rape, rope
chen, chin, coin, corn, cord, cold
jose, pose, pole, hole, hold, hood
hats, hans, hand, band, bond, fond
mice, nice, nine, none, bone, bond
firm, fire, wire, wise, wish, with
poor, pool, poll, roll, role, rome
feel, feed, fled, flew, blew, blow
dust, bust, best, beat, seat, stat
toss, loss, lots, lets, pets, pete
